frame,real_seconds,game_seconds,speed,held,leg_angle,action
85,4.3891,4.3702,2.4035,True,329.817,holding-right
86,4.4408,4.4204,2.4035,True,311.738,holding-right
87,4.4943,4.4718,2.4035,True,301.555,holding-right
88,4.5428,4.5215,2.4035,True,305.822,holding-right
89,4.5935,4.5733,2.4035,True,325.705,holding-right
90,4.6473,4.6250,2.4035,True,347.451,holding-right
91,4.6974,4.6773,2.4035,True,356.665,holding-right
92,4.7477,4.7286,2.4035,True,2.437,holding-right
93,4.7993,4.7790,2.4035,True,20.919,holding-right
94,4.8490,4.8295,2.4035,True,47.631,holding-right
95,4.9010,4.8809,2.4035,True,59.237,holding-right
96,4.9497,4.9308,2.4035,True,50.539,holding-right
97,4.9999,4.9815,2.4035,True,32.921,holding-right
98,5.0509,5.0329,2.4035,False,0.000,holding-right-shoot
99,5.1030,5.0837,2.4035,False,0.000,holding-right-shoot
100,5.1507,5.1334,2.4035,False,0.000,holding-right-shoot
101,5.2009,5.1837,2.4035,False,0.000,holding-right-shoot
102,5.2538,5.2350,0.0000,False,0.000,idle
103,5.3044,5.2856,0.0000,False,0.000,idle
104,5.3667,5.3196,0.0000,False,0.000,idle
105,5.4202,5.3712,0.0000,False,0.000,idle
106,5.4710,5.4214,0.0000,False,0.000,idle
107,5.5212,5.4723,0.0000,False,0.000,idle
108,5.5747,5.5250,0.0000,False,0.000,idle
109,5.6242,5.5754,0.0000,False,0.000,idle
110,5.6740,5.6250,0.0000,False,0.000,idle
111,5.7260,5.6765,0.0000,False,0.000,idle
112,5.7748,5.7264,0.0000,False,0.000,idle
113,5.8267,5.7775,0.0000,False,0.000,idle
114,5.8771,5.8278,0.0000,False,0.000,idle
115,5.9281,5.8783,0.0000,False,0.000,idle
116,5.9789,5.9291,0.0000,False,0.000,idle
117,6.0329,5.9814,2.4035,False,0.000,attack-melee-left
118,6.0882,6.0338,2.4035,False,1.768,attack-melee-left
119,6.1329,6.0836,2.4035,False,8.884,attack-melee-left
120,6.1816,6.1336,2.4035,False,14.958,attack-melee-left
121,6.2347,6.1855,2.4035,False,352.829,attack-melee-left
122,6.2861,6.2360,2.4035,False,330.098,attack-melee-left
123,6.3369,6.2868,2.4035,False,338.881,attack-melee-left
124,6.3866,6.3377,2.4035,False,351.315,attack-melee-left
125,6.4376,6.3882,2.4035,False,359.133,attack-melee-left
126,6.4863,6.4387,2.4035,False,0.983,walk
127,6.5426,6.4893,2.4035,False,16.803,walk
128,6.5878,6.5404,2.4035,False,52.502,walk
129,6.6417,6.5920,2.4035,False,57.731,walk
130,6.6903,6.6419,2.4035,False,46.640,walk
131,6.7410,6.6920,2.4035,False,28.065,walk
132,6.7917,6.7437,2.4035,False,8.011,walk
133,6.8432,6.7945,2.4035,False,349.584,walk
134,6.8941,6.8454,2.4035,False,329.539,walk
135,6.9442,6.8958,2.4035,False,311.445,walk
136,7.0006,6.9466,2.4035,False,301.474,walk
137,7.0458,6.9978,2.4035,False,306.100,walk
138,7.1006,7.0480,2.4035,False,326.030,walk
139,7.1487,7.1001,2.4035,False,347.771,walk
140,7.1983,7.1499,2.4035,False,356.550,walk
141,7.2508,7.2009,2.4035,False,1.969,walk
142,7.3014,7.2522,2.4035,False,20.162,walk
143,7.3563,7.3036,2.4035,False,47.330,walk
144,7.4035,7.3541,2.4035,False,59.362,walk
145,7.4551,7.4047,2.4035,False,50.627,walk
146,7.5044,7.4546,2.4035,False,33.494,walk
147,7.5560,7.5055,2.4035,False,13.401,walk
148,7.6059,7.5555,2.4035,False,355.387,walk
149,7.6621,7.6061,2.4035,False,335.866,walk
150,7.7072,7.6579,2.4035,False,315.782,walk
151,7.7584,7.7087,2.4035,False,303.091,walk
152,7.8108,7.7605,2.4035,False,303.828,walk
153,7.8611,7.8110,2.4035,False,319.894,walk
154,7.9126,7.8620,2.4035,False,342.333,walk
155,7.9628,7.9130,2.4035,False,355.467,walk
156,8.0135,7.9632,2.4035,False,359.478,walk
157,8.0630,8.0134,2.4035,False,12.066,walk
158,8.1150,8.0642,2.4035,False,39.141,walk
159,8.1661,8.1152,2.4035,False,57.745,walk
160,8.2211,8.1662,2.4035,False,55.011,walk
161,8.2663,8.2167,2.4035,False,39.198,walk
162,8.3160,8.2668,2.4035,False,19.209,walk
163,8.3687,8.3186,2.4035,False,0.191,walk
164,8.4180,8.3682,2.4035,False,341.659,walk
165,8.4692,8.4190,2.4035,False,321.662,walk
166,8.5201,8.4700,2.4035,False,305.538,walk
167,8.5697,8.5204,2.4035,False,301.225,walk
168,8.6218,8.5713,2.4035,False,313.575,walk
169,8.6717,8.6218,2.4035,False,335.458,walk
170,8.7230,8.6718,2.4035,False,354.066,walk
171,8.7740,8.7242,2.4035,False,358.169,walk
172,8.8238,8.7739,2.4035,False,6.816,walk
173,8.8750,8.8245,2.4035,False,30.514,walk
174,8.9259,8.8754,2.4035,False,53.734,walk
175,8.9773,8.9260,2.4035,False,57.235,walk
