hero,slot,variant,role,view,expected,observed,charges_before,charges_after,input_samples,actor_early_travel,actor_travel,target_travel,target_stun_samples,seconds,body_action,fpp_action
cheska,1,cheska.1.blackice,attacker,observer,cast,cast,2,1,12,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,1,cheska.1.blackice,defender,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,2,cheska.2.barricade,attacker,observer,cast,cast,1,0,13,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.barricade,defender,observer,cast,cast,1,0,13,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.spires,attacker,observer,cast,cast,1,0,13,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.spires,defender,observer,cast,cast,1,0,13,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
nemu,1,nemu.1.veil,attacker,observer,cast,cast,0,0,13,0.454,0.454,0.000,0,5.00,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.veil,defender,observer,cast,cast,0,0,12,0.454,0.454,0.000,0,5.00,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.fade,attacker,observer,cast,cast,0,0,13,0.454,0.454,0.000,0,5.18,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.fade,defender,observer,cast,cast,0,0,15,0.454,0.454,0.000,0,5.18,hero-nemu-ghoststep,ghost-step
nemu,2,nemu.2.hijack,attacker,observer,cast,cast,1,0,13,0.000,6.288,0.134,9,7.80,hero-nemu-project,project-spirit
nemu,2,nemu.2.hijack,defender,observer,cast,cast,1,0,13,0.000,6.834,0.134,9,7.80,hero-nemu-project,project-spirit
nemu,2,nemu.2.leash,attacker,observer,cast,cast,1,0,13,0.000,8.655,0.134,9,5.40,hero-nemu-project,project-spirit
nemu,2,nemu.2.leash,defender,observer,cast,cast,1,0,13,0.000,8.292,0.134,9,5.40,hero-nemu-project,project-spirit
phaister,1,phaister.1.hex,attacker,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,7.80,hero-phaister-hex,cast-hex
phaister,1,phaister.1.hex,defender,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,7.80,hero-phaister-hex,cast-hex
phaister,1,phaister.1.brand,attacker,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,7.80,hero-phaister-hex,cast-hex
phaister,1,phaister.1.brand,defender,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,7.80,hero-phaister-hex,cast-hex
phaister,2,phaister.2.blink,attacker,observer,cast,cast,0,0,13,5.012,5.012,0.593,11,5.00,hero-phaister-blink,blink
phaister,2,phaister.2.blink,defender,observer,cast,cast,0,0,13,4.970,4.970,0.593,11,5.00,hero-phaister-blink,blink
phaister,2,phaister.2.stride,attacker,observer,cast,cast,0,0,13,5.103,5.103,0.598,11,5.00,hero-phaister-blink,blink
phaister,2,phaister.2.stride,defender,observer,cast,cast,0,0,13,5.058,5.058,0.598,11,5.00,hero-phaister-blink,blink
