time,id,x,y,z,state
4.594,lagoon-maya-2,-1.285,10.623,27.380,fly|wait=1.21|panic=0.00|target=1|speed=5.10|near=False|yaw=297.9|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
4.846,lagoon-kalapati-0,-0.238,9.157,25.792,fly|wait=-0.01|panic=0.00|target=1|speed=4.60|near=False|yaw=62.9|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
4.846,lagoon-kalapati-1,14.737,15.946,-12.119,fly|wait=1.62|panic=0.00|target=1|speed=4.23|near=False|yaw=314.5|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
4.846,lagoon-maya-2,-2.439,10.805,27.986,fly|wait=1.21|panic=0.00|target=1|speed=5.07|near=False|yaw=297.8|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
5.098,lagoon-kalapati-0,0.788,9.235,26.334,fly|wait=-0.01|panic=0.00|target=1|speed=4.62|near=False|yaw=62.4|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
5.098,lagoon-kalapati-1,13.982,15.938,-11.362,fly|wait=1.62|panic=0.00|target=1|speed=4.25|near=False|yaw=314.9|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
5.098,lagoon-maya-2,-3.553,10.979,28.575,fly|wait=1.21|panic=0.00|target=1|speed=5.02|near=False|yaw=297.9|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
5.353,lagoon-kalapati-0,1.792,9.313,26.873,fly|wait=-0.01|panic=0.00|target=1|speed=4.64|near=False|yaw=62.0|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
5.353,lagoon-kalapati-1,13.246,15.931,-10.613,fly|wait=1.62|panic=0.00|target=1|speed=4.27|near=False|yaw=315.3|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
5.353,lagoon-maya-2,-4.629,11.146,29.153,fly|wait=1.21|panic=0.00|target=1|speed=4.96|near=False|yaw=298.2|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=1
5.604,lagoon-kalapati-0,2.845,9.398,27.447,fly|wait=-0.01|panic=0.00|target=1|speed=4.65|near=False|yaw=61.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
5.604,lagoon-kalapati-1,12.475,15.923,-9.818,fly|wait=1.62|panic=0.00|target=1|speed=4.29|near=False|yaw=315.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
5.604,lagoon-maya-2,-5.735,11.314,29.765,fly|wait=1.21|panic=0.00|target=1|speed=4.88|near=False|yaw=298.7|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=1
5.855,lagoon-kalapati-0,3.864,9.480,28.010,fly|wait=-0.01|panic=0.00|target=1|speed=4.65|near=False|yaw=61.3|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
5.855,lagoon-kalapati-1,11.730,15.914,-9.039,fly|wait=1.62|panic=0.00|target=1|speed=4.30|near=False|yaw=316.1|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
5.855,lagoon-maya-2,-6.780,11.469,30.365,fly|wait=1.21|panic=0.00|target=1|speed=4.79|near=False|yaw=299.5|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
6.107,lagoon-kalapati-0,4.888,9.565,28.580,fly|wait=-0.01|panic=0.00|target=1|speed=4.65|near=False|yaw=61.0|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
6.107,lagoon-kalapati-1,10.981,15.906,-8.246,fly|wait=1.62|panic=0.00|target=1|speed=4.32|near=False|yaw=316.5|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
6.107,lagoon-maya-2,-7.800,11.614,30.979,fly|wait=1.21|panic=0.00|target=1|speed=4.69|near=False|yaw=300.6|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
6.359,lagoon-kalapati-0,5.907,9.650,29.151,fly|wait=-0.01|panic=0.00|target=1|speed=4.65|near=False|yaw=60.8|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
6.359,lagoon-kalapati-1,10.237,15.896,-7.449,fly|wait=1.62|panic=0.00|target=1|speed=4.34|near=False|yaw=316.8|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
6.359,lagoon-maya-2,-8.777,11.746,31.602,fly|wait=1.21|panic=0.00|target=1|speed=4.57|near=False|yaw=301.9|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
6.617,lagoon-kalapati-0,6.922,9.735,29.722,fly|wait=-0.01|panic=0.00|target=1|speed=4.64|near=False|yaw=60.7|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
6.617,lagoon-kalapati-1,9.496,15.887,-6.645,fly|wait=1.62|panic=0.00|target=1|speed=4.36|near=False|yaw=317.2|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
6.617,lagoon-maya-2,-9.709,11.864,32.238,fly|wait=1.21|panic=0.00|target=1|speed=4.45|near=False|yaw=303.6|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
6.869,lagoon-kalapati-0,7.962,9.823,30.308,fly|wait=-0.01|panic=0.00|target=1|speed=4.63|near=False|yaw=60.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
6.869,lagoon-kalapati-1,8.736,15.877,-5.811,fly|wait=1.62|panic=0.00|target=1|speed=4.38|near=False|yaw=317.5|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
6.869,lagoon-maya-2,-10.614,11.969,32.910,fly|wait=1.21|panic=0.00|target=1|speed=4.32|near=False|yaw=305.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
7.120,lagoon-kalapati-0,8.971,9.907,30.876,fly|wait=-0.01|panic=0.00|target=1|speed=4.61|near=False|yaw=60.6|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
7.120,lagoon-kalapati-1,7.998,15.867,-4.993,fly|wait=1.62|panic=0.00|target=1|speed=4.39|near=False|yaw=317.8|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
7.120,lagoon-maya-2,-11.494,11.984,33.284,fly|wait=1.21|panic=0.00|target=1|speed=3.58|near=False|yaw=296.1|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
7.372,lagoon-kalapati-0,9.979,9.992,31.441,fly|wait=-0.01|panic=0.00|target=1|speed=4.58|near=False|yaw=60.7|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
7.372,lagoon-kalapati-1,7.260,15.857,-4.165,fly|wait=1.62|panic=0.00|target=1|speed=4.41|near=False|yaw=318.1|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
7.372,lagoon-maya-2,-12.340,11.968,33.394,fly|wait=1.21|panic=0.00|target=1|speed=3.25|near=False|yaw=283.3|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
7.623,lagoon-kalapati-0,10.974,10.074,31.996,fly|wait=-0.01|panic=0.00|target=1|speed=4.56|near=False|yaw=60.8|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
7.623,lagoon-kalapati-1,6.530,15.846,-3.339,fly|wait=1.62|panic=0.00|target=1|speed=4.42|near=False|yaw=318.4|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
7.623,lagoon-maya-2,-13.126,11.939,33.300,fly|wait=1.21|panic=0.00|target=1|speed=3.14|near=False|yaw=269.7|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
7.874,lagoon-kalapati-0,11.967,10.155,32.545,fly|wait=-0.01|panic=0.00|target=1|speed=4.52|near=False|yaw=61.0|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
7.874,lagoon-kalapati-1,5.799,15.835,-2.504,fly|wait=1.62|panic=0.00|target=1|speed=4.44|near=False|yaw=318.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
7.874,lagoon-maya-2,-13.864,11.900,33.017,fly|wait=1.21|panic=0.00|target=1|speed=3.23|near=False|yaw=255.8|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
8.127,lagoon-kalapati-0,12.968,10.235,33.092,fly|wait=-0.01|panic=0.00|target=1|speed=4.49|near=False|yaw=61.2|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
8.127,lagoon-kalapati-1,5.061,15.824,-1.652,fly|wait=1.62|panic=0.00|target=1|speed=4.45|near=False|yaw=319.0|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
8.127,lagoon-maya-2,-14.565,11.849,32.548,fly|wait=1.21|panic=0.00|target=1|speed=3.46|near=False|yaw=242.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
8.377,lagoon-kalapati-0,13.944,10.312,33.618,fly|wait=-0.01|panic=0.00|target=1|speed=4.44|near=False|yaw=61.6|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
8.377,lagoon-kalapati-1,4.339,15.812,-0.811,fly|wait=1.62|panic=0.00|target=1|speed=4.46|near=False|yaw=319.2|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
8.377,lagoon-maya-2,-15.211,11.789,31.924,fly|wait=1.21|panic=0.00|target=1|speed=3.79|near=False|yaw=231.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
8.629,lagoon-kalapati-0,14.932,10.387,34.140,fly|wait=-0.01|panic=0.00|target=1|speed=4.40|near=False|yaw=61.9|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
8.629,lagoon-kalapati-1,3.605,15.801,0.051,fly|wait=1.62|panic=0.00|target=1|speed=4.47|near=False|yaw=319.5|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
8.629,lagoon-maya-2,-15.831,11.719,31.135,fly|wait=1.21|panic=0.00|target=1|speed=4.16|near=False|yaw=222.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
8.883,lagoon-kalapati-0,15.911,10.459,34.647,fly|wait=-0.01|panic=0.00|target=1|speed=4.35|near=False|yaw=62.4|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
8.883,lagoon-kalapati-1,2.874,15.789,0.915,fly|wait=1.62|panic=0.00|target=1|speed=4.49|near=False|yaw=319.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
8.883,lagoon-maya-2,-16.414,11.642,30.205,fly|wait=1.21|panic=0.00|target=1|speed=4.55|near=False|yaw=215.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
9.135,lagoon-kalapati-0,16.885,10.528,35.139,fly|wait=-0.01|panic=0.00|target=1|speed=4.29|near=False|yaw=62.9|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
9.135,lagoon-kalapati-1,2.144,15.776,1.786,fly|wait=1.62|panic=0.00|target=1|speed=4.50|near=False|yaw=319.9|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
9.135,lagoon-maya-2,-16.969,11.557,29.143,fly|wait=1.21|panic=0.00|target=1|speed=4.94|near=False|yaw=210.3|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
9.385,lagoon-kalapati-0,17.838,10.592,35.607,fly|wait=-0.01|panic=0.00|target=1|speed=4.23|near=False|yaw=63.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
9.385,lagoon-kalapati-1,1.425,15.764,2.650,fly|wait=1.62|panic=0.00|target=1|speed=4.51|near=False|yaw=320.1|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
9.385,lagoon-maya-2,-17.490,11.467,27.980,fly|wait=1.21|panic=0.00|target=1|speed=5.29|near=False|yaw=206.3|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
9.637,lagoon-kalapati-0,18.795,10.653,36.061,fly|wait=-0.01|panic=0.00|target=1|speed=4.17|near=False|yaw=64.3|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
9.637,lagoon-kalapati-1,0.700,15.751,3.527,fly|wait=1.62|panic=0.00|target=1|speed=4.52|near=False|yaw=320.3|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
9.637,lagoon-maya-2,-17.996,11.370,26.702,fly|wait=1.21|panic=0.00|target=1|speed=5.62|near=False|yaw=203.2|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
9.887,lagoon-kalapati-0,19.735,10.709,36.491,fly|wait=-0.01|panic=0.00|target=1|speed=4.10|near=False|yaw=65.1|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
9.887,lagoon-kalapati-1,-0.018,15.739,4.402,fly|wait=1.62|panic=0.00|target=1|speed=4.52|near=False|yaw=320.5|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
9.887,lagoon-maya-2,-18.479,11.270,25.344,fly|wait=1.21|panic=0.00|target=1|speed=5.92|near=False|yaw=200.8|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
10.138,lagoon-kalapati-0,20.669,10.760,36.899,fly|wait=-0.01|panic=0.00|target=1|speed=4.04|near=False|yaw=66.0|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
10.138,lagoon-kalapati-1,-0.736,15.726,5.281,fly|wait=1.62|panic=0.00|target=1|speed=4.53|near=False|yaw=320.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
10.138,lagoon-maya-2,-18.950,11.166,23.906,fly|wait=1.21|panic=0.00|target=1|speed=6.17|near=False|yaw=199.0|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
10.391,lagoon-kalapati-0,21.597,10.806,37.284,fly|wait=-0.01|panic=0.00|target=1|speed=3.96|near=False|yaw=67.0|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
10.391,lagoon-kalapati-1,-1.454,15.712,6.167,fly|wait=1.62|panic=0.00|target=1|speed=4.54|near=False|yaw=320.9|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
10.391,lagoon-maya-2,-19.412,11.058,22.399,fly|wait=1.21|panic=0.00|target=1|speed=6.39|near=False|yaw=197.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
10.642,lagoon-kalapati-0,22.368,10.834,37.492,fly|wait=-0.01|panic=0.00|target=1|speed=2.70|near=False|yaw=73.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
10.642,lagoon-kalapati-1,-2.175,15.699,7.060,fly|wait=1.62|panic=0.00|target=1|speed=4.55|near=False|yaw=321.0|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
10.642,lagoon-maya-2,-19.871,10.949,20.832,fly|wait=1.21|panic=0.00|target=1|speed=6.56|near=False|yaw=196.8|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
10.894,lagoon-kalapati-0,22.975,10.824,37.386,fly|wait=-0.01|panic=0.00|target=1|speed=2.36|near=False|yaw=92.2|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
10.894,lagoon-kalapati-1,-2.892,15.686,7.954,fly|wait=1.62|panic=0.00|target=1|speed=4.55|near=False|yaw=321.2|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
10.894,lagoon-maya-2,-20.327,10.838,19.229,fly|wait=1.21|panic=0.00|target=1|speed=6.69|near=False|yaw=196.2|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
11.148,lagoon-kalapati-0,23.452,10.780,37.006,fly|wait=-0.01|panic=0.00|target=1|speed=2.61|near=False|yaw=116.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
11.148,lagoon-kalapati-1,-3.608,15.672,8.852,fly|wait=1.62|panic=0.00|target=1|speed=4.56|near=False|yaw=321.3|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
11.148,lagoon-maya-2,-20.785,10.728,17.596,fly|wait=1.21|panic=0.00|target=1|speed=6.78|near=False|yaw=195.9|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
11.398,lagoon-kalapati-0,23.816,10.707,36.386,fly|wait=-0.01|panic=0.00|target=1|speed=3.17|near=False|yaw=138.2|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
11.398,lagoon-kalapati-1,-4.324,15.658,9.752,fly|wait=1.62|panic=0.00|target=1|speed=4.56|near=False|yaw=321.5|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
11.398,lagoon-maya-2,-21.250,10.617,15.949,fly|wait=1.21|panic=0.00|target=1|speed=6.82|near=False|yaw=195.8|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
11.649,lagoon-kalapati-0,24.086,10.608,35.566,fly|wait=-0.01|panic=0.00|target=1|speed=3.77|near=False|yaw=153.5|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=3
11.649,lagoon-kalapati-1,-5.034,15.644,10.649,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=321.6|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
11.649,lagoon-maya-2,-21.723,10.510,14.309,fly|wait=1.21|panic=0.00|target=1|speed=6.82|near=False|yaw=196.0|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
11.899,lagoon-kalapati-0,24.281,10.488,34.578,fly|wait=-0.01|panic=0.00|target=1|speed=4.32|near=False|yaw=163.4|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=3
11.899,lagoon-kalapati-1,-5.741,15.630,11.546,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=321.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
11.899,lagoon-maya-2,-22.209,10.404,12.683,fly|wait=1.21|panic=0.00|target=1|speed=6.77|near=False|yaw=196.5|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
12.151,lagoon-kalapati-0,24.421,10.351,33.446,fly|wait=-0.01|panic=0.00|target=1|speed=4.78|near=False|yaw=169.6|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=3
12.151,lagoon-kalapati-1,-6.451,15.616,12.450,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=321.8|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
12.151,lagoon-maya-2,-22.717,10.302,11.070,fly|wait=1.21|panic=0.00|target=1|speed=6.68|near=False|yaw=197.2|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
12.408,lagoon-kalapati-0,24.522,10.201,32.218,fly|wait=-0.01|panic=0.00|target=1|speed=5.11|near=False|yaw=173.3|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=3
12.408,lagoon-kalapati-1,-7.157,15.602,13.351,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=321.9|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
12.408,lagoon-maya-2,-23.244,10.204,9.500,fly|wait=1.21|panic=0.00|target=1|speed=6.56|near=False|yaw=198.1|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=2
12.658,lagoon-kalapati-0,24.605,10.039,30.884,fly|wait=-0.01|panic=0.00|target=1|speed=5.33|near=False|yaw=175.4|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=3
12.658,lagoon-kalapati-1,-7.881,15.588,14.279,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=322.0|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
12.658,lagoon-maya-2,-23.814,10.108,7.936,fly|wait=1.21|panic=0.00|target=1|speed=6.39|near=False|yaw=199.4|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
12.910,lagoon-kalapati-0,24.685,9.875,29.548,fly|wait=-0.01|panic=0.00|target=1|speed=5.40|near=False|yaw=176.1|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
12.910,lagoon-kalapati-1,-8.586,15.573,15.184,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=322.1|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
12.910,lagoon-maya-2,-24.400,10.021,6.473,fly|wait=1.21|panic=0.00|target=1|speed=6.19|near=False|yaw=201.1|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=2
13.161,lagoon-kalapati-0,24.781,9.712,28.209,fly|wait=-0.01|panic=0.00|target=1|speed=5.35|near=False|yaw=175.9|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=3
13.161,lagoon-kalapati-1,-9.290,15.559,16.091,fly|wait=1.62|panic=0.00|target=1|speed=4.57|near=False|yaw=322.1|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
