bayan/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.08, 1.00, 1.08); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
aling_nena/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
aling_nena/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
dante/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.118, 0.361, 0.196, 1.000)
dante/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.118, 0.361, 0.196, 1.000)
cheska/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.961, 0.722, 0.580, 1.000)
cheska/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.961, 0.722, 0.580, 1.000)
sean/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(1.000, 0.533, 0.000, 1.000)
sean/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(1.000, 0.533, 0.000, 1.000)
zack/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.780, 0.478, 0.271, 1.000)
zack/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.780, 0.478, 0.271, 1.000)
nemu/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.878, 0.686, 0.518, 1.000)
nemu/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.878, 0.686, 0.518, 1.000)
phaister/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.957, 0.753, 0.596, 1.000)
phaister/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.957, 0.753, 0.596, 1.000)
