map,shader,renderers,material_slots,unique_materials,static_batched_renderers
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+glTF/PbrMetallicRoughness+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,10,10,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,8,8,1
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,19,57,11,0
SaBubong,TumbangPreso/PoolCeramic,8,8,1,7
SaBubong,TumbangPreso/NearFade,139,139,33,114
SaBubong,TumbangPreso/RoofPoolWater,1,1,1,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade,5,10,4,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,6,6,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,20,10,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,7,28,4,6
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade,32,64,22,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,5,45,18,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,33,17,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,6,48,18,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,30,16,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,6,30,10,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,18,54,11,0
Lagoon,TumbangPreso/NearFade,80,80,12,52
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,2,12,7,0
Lagoon,TumbangPreso/LagoonWater,1,1,1,0
Lagoon,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,11,44,24,0
Lagoon,TumbangPreso/CourtSignal,1,1,1,0
Lagoon,TumbangPreso/CourtSurface,3,3,2,2
Lagoon,TumbangPreso/GroundContact,9,9,9,0
Lagoon,TumbangPreso/WorldClock,1,1,1,0
