time,trip,mash,root_y,drawn_bottom,support_y,palm_y
3.8118,2.0600,2,0.1800,0.1000,0.1000,0.2687
3.8667,1.8400,3,0.1800,0.0999,0.1000,0.1518
3.9239,1.8400,3,0.1800,0.0998,0.1000,0.1526
3.9857,1.8400,3,0.1800,0.0998,0.1000,0.1534
4.0377,1.6200,4,0.1800,0.1032,0.1000,0.1448
4.0899,1.6200,4,0.1800,0.1015,0.1000,0.1447
4.1415,1.4000,5,0.1800,0.1012,0.1000,0.1466
4.1926,1.4000,5,0.1800,0.1000,0.1000,0.1653
4.2438,1.4000,5,0.1800,0.1000,0.1000,0.1653
4.2938,1.4000,5,0.1800,0.1000,0.1000,0.1653
4.3446,1.1800,6,0.1800,0.1000,0.1000,0.1619
4.3951,1.1800,6,0.1800,0.1000,0.1000,0.1620
4.4466,1.1800,6,0.1800,0.1000,0.1000,0.1621
4.4979,0.9600,7,0.1800,0.1000,0.1000,0.1568
4.5480,0.9600,7,0.1800,0.1000,0.1000,0.1570
4.6003,0.9600,7,0.1800,0.1000,0.1000,0.1572
4.6506,0.7400,8,0.1800,0.1012,0.1000,0.1519
4.7027,0.7400,8,0.1800,0.1009,0.1000,0.1519
4.7535,0.7400,8,0.1800,0.1006,0.1000,0.1519
4.8039,0.5200,9,0.1800,0.1000,0.1000,0.1713
4.8555,0.5200,9,0.1800,0.1000,0.1000,0.1712
4.9066,0.5200,9,0.1800,0.1000,0.1000,0.1713
4.9570,0.3015,10,0.1800,0.1001,0.1000,0.1815
5.0073,0.2512,10,0.1800,0.1000,0.1000,0.2390
5.0587,0.1998,10,0.1800,0.1000,0.1000,0.3700
5.1093,0.1492,10,0.1800,0.1002,0.1000,0.5646
5.1595,0.0989,10,0.1800,0.1000,0.1000,0.7693
5.2103,0.0481,10,0.1800,0.1000,0.1000,0.8951
5.2615,0.0000,10,0.1800,0.1000,0.1000,0.9138
5.3125,0.0000,10,0.1800,0.1000,0.1000,0.6965
5.3635,0.0000,10,0.1800,0.1000,0.1000,0.5107
5.4142,0.0000,10,0.1800,0.1000,0.1000,0.4970
5.4648,0.0000,10,0.1800,0.1000,0.1000,0.5332
5.5156,0.0000,10,0.1800,0.1000,0.1000,0.5645
5.5663,0.0000,10,0.1800,0.1000,0.1000,0.5831
5.6170,0.0000,10,0.1800,0.1000,0.1000,0.5827
5.6684,0.0000,10,0.1800,0.1000,0.1000,0.5626
5.7200,0.0000,10,0.1800,0.1000,0.1000,0.5304
5.7707,0.0000,10,0.1800,0.1000,0.1000,0.4942
5.8227,0.0000,10,0.1800,0.1000,0.1000,0.4595
5.8736,0.0000,10,0.1800,0.1000,0.1000,0.4357
5.9242,0.0000,10,0.1800,0.1000,0.1000,0.4257
5.9744,0.0000,10,0.1800,0.1000,0.1000,0.4355
6.0256,0.0000,10,0.1800,0.1000,0.1000,0.4590
6.0761,0.0000,10,0.1800,0.1000,0.1000,0.4920
6.1273,0.0000,10,0.1800,0.1000,0.1000,0.5280
6.1782,0.0000,10,0.1800,0.1000,0.1000,0.5593
6.2287,0.0000,10,0.1800,0.1000,0.1000,0.5793
6.2801,0.0000,10,0.1800,0.1000,0.1000,0.5800
6.3315,0.0000,10,0.1800,0.1000,0.1000,0.5617
6.3820,0.0000,10,0.1800,0.1000,0.1000,0.5312
6.4329,0.0000,10,0.1800,0.1000,0.1000,0.4956
6.4834,0.0000,10,0.1800,0.1000,0.1000,0.4622
6.5338,0.0000,10,0.1800,0.1000,0.1000,0.4386
6.5844,0.0000,10,0.1800,0.1000,0.1000,0.4269
6.6364,0.0000,10,0.1800,0.1000,0.1000,0.4342
6.6870,0.0000,10,0.1800,0.1000,0.1000,0.4570
6.7399,0.0000,10,0.1800,0.1000,0.1000,0.4916
6.7901,0.0000,10,0.1800,0.1000,0.1000,0.5277
6.8406,0.0000,10,0.1800,0.1000,0.1000,0.5599
6.8910,0.0000,10,0.1800,0.1000,0.1000,0.5819
6.9419,0.0000,10,0.1800,0.1000,0.1000,0.5839
6.9920,0.0000,10,0.1800,0.1000,0.1000,0.5681
7.0424,0.0000,10,0.1800,0.1000,0.1000,0.5377
7.0928,0.0000,10,0.1800,0.1000,0.1000,0.5022
7.1439,0.0000,10,0.1800,0.1000,0.1000,0.4673
7.1946,0.0000,10,0.1800,0.1000,0.1000,0.4401
7.2446,0.0000,10,0.1800,0.1000,0.1000,0.4272
7.2951,0.0000,10,0.1800,0.1000,0.1000,0.4312
7.3452,0.0000,10,0.1800,0.1000,0.1000,0.4518
7.3960,0.0000,10,0.1800,0.1000,0.1000,0.4827
7.4465,0.0000,10,0.1800,0.1000,0.1000,0.5181
7.4972,0.0000,10,0.1800,0.1000,0.1000,0.5514
7.5480,0.0000,10,0.1800,0.1000,0.1000,0.5752
7.5998,0.0000,10,0.1800,0.1000,0.1000,0.5819
7.6505,0.0000,10,0.1800,0.1000,0.1000,0.5685
7.7007,0.0000,10,0.1800,0.1000,0.1000,0.5408
7.7517,0.0000,10,0.1800,0.1000,0.1000,0.5058
7.8027,0.0000,10,0.1800,0.1000,0.1000,0.4711
7.8547,0.0000,10,0.1800,0.1000,0.1000,0.4422
7.9047,0.0000,10,0.1800,0.1000,0.1000,0.4299
7.9551,0.0000,10,0.1800,0.1000,0.1000,0.4296
8.0053,0.0000,10,0.1800,0.1000,0.1000,0.4492
8.0557,0.0000,10,0.1800,0.1000,0.1000,0.4793
8.1065,0.0000,10,0.1800,0.1000,0.1000,0.5155
8.1578,0.0000,10,0.1800,0.1000,0.1000,0.5508
8.2078,0.0000,10,0.1800,0.1000,0.1000,0.5757
8.2580,0.0000,10,0.1800,0.1000,0.1000,0.5864
8.3085,0.0000,10,0.1800,0.1000,0.1000,0.5748
8.3592,0.0000,10,0.1800,0.1000,0.1000,0.5489
8.4093,0.0000,10,0.1800,0.1000,0.1000,0.5142
8.4598,0.0000,10,0.1800,0.1000,0.1000,0.4784
8.5159,0.0000,10,0.1800,0.1000,0.1000,0.4456
8.5670,0.0000,10,0.1800,0.1000,0.1000,0.4286
8.6174,0.0000,10,0.1800,0.1000,0.1000,0.4288
8.6695,0.0000,10,0.1800,0.1000,0.1000,0.4472
8.7197,0.0000,10,0.1800,0.1000,0.1000,0.4762
8.7703,0.0000,10,0.1800,0.1000,0.1000,0.5113
8.8205,0.0000,10,0.1800,0.1000,0.1000,0.5456
8.8715,0.0000,10,0.1800,0.1000,0.1000,0.5715
8.9230,0.0000,10,0.1800,0.1000,0.1000,0.5831
8.9735,0.0000,10,0.1800,0.1000,0.1000,0.5723
9.0251,0.0000,10,0.1800,0.1000,0.1000,0.5467
9.0763,0.0000,10,0.1800,0.1000,0.1000,0.5120
9.1265,0.0000,10,0.1800,0.1000,0.1000,0.4771
9.1779,0.0000,10,0.1800,0.1000,0.1000,0.4473
9.2285,0.0000,10,0.1800,0.1000,0.1000,0.4321
9.2796,0.0000,10,0.1800,0.1000,0.1000,0.4284
9.3297,0.0000,10,0.1800,0.1000,0.1000,0.4446
9.3823,0.0000,10,0.1800,0.1000,0.1000,0.4749
9.4337,0.0000,10,0.1800,0.1000,0.1000,0.5111
9.4839,0.0000,10,0.1800,0.1000,0.1000,0.5460
9.5345,0.0000,10,0.1800,0.1000,0.1000,0.5732
9.5847,0.0000,10,0.1800,0.1000,0.1000,0.5857
9.6348,0.0000,10,0.1800,0.1000,0.1000,0.5775
9.6851,0.0000,10,0.1800,0.1000,0.1000,0.5533
9.7359,0.0000,10,0.1800,0.1000,0.1000,0.5191
9.7872,0.0000,10,0.1800,0.1000,0.1000,0.4825
9.8389,0.0000,10,0.1800,0.1000,0.1000,0.4509
9.9285,0.0000,10,0.1800,0.1000,0.1000,0.4262
9.9861,0.0000,10,0.1800,0.1000,0.1000,0.4394
10.0376,0.0000,10,0.1800,0.1000,0.1000,0.4665
