map,mode,view,quality,body_x,body_y,body_z,eye_x,eye_y,eye_z,yaw,fov
BayanPlaza,Classic,3-edge,High,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,90.00,95.00
IlalimNgTulay,Classic,0-court,Low,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,Classic,0-court,Balanced,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,Classic,0-court,High,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,Classic,0-edge,Low,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,Classic,0-edge,Balanced,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,Classic,0-edge,High,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,Classic,1-court,Low,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,Classic,1-court,Balanced,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,Classic,1-court,High,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,Classic,1-edge,Low,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,1-edge,Balanced,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,1-edge,High,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,2-court,Low,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,Classic,2-court,Balanced,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,Classic,2-court,High,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,Classic,2-edge,Low,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,Classic,2-edge,Balanced,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,Classic,2-edge,High,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,Classic,3-court,Low,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,3-court,Balanced,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,3-court,High,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,Classic,3-edge,Low,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,Classic,3-edge,Balanced,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,Classic,3-edge,High,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
Eskinita,HeroStrike,0-court,Low,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
Eskinita,HeroStrike,0-court,Balanced,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
Eskinita,HeroStrike,0-court,High,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
Eskinita,HeroStrike,0-edge,Low,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
Eskinita,HeroStrike,0-edge,Balanced,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
Eskinita,HeroStrike,0-edge,High,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
Eskinita,HeroStrike,1-court,Low,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,90.00,95.00
Eskinita,HeroStrike,1-court,Balanced,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,90.00,95.00
Eskinita,HeroStrike,1-court,High,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,90.00,95.00
Eskinita,HeroStrike,1-edge,Low,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,1-edge,Balanced,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,1-edge,High,-7.2000,0.1000,0.0000,-7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,2-court,Low,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
Eskinita,HeroStrike,2-court,Balanced,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
Eskinita,HeroStrike,2-court,High,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
Eskinita,HeroStrike,2-edge,Low,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
Eskinita,HeroStrike,2-edge,Balanced,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
Eskinita,HeroStrike,2-edge,High,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
Eskinita,HeroStrike,3-court,Low,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,3-court,Balanced,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,3-court,High,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,270.00,95.00
Eskinita,HeroStrike,3-edge,Low,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,90.00,95.00
Eskinita,HeroStrike,3-edge,Balanced,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,90.00,95.00
Eskinita,HeroStrike,3-edge,High,7.2000,0.1000,0.0000,7.2000,1.3500,0.0000,90.00,95.00
BayanPlaza,HeroStrike,0-court,Low,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
BayanPlaza,HeroStrike,0-court,Balanced,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
BayanPlaza,HeroStrike,0-court,High,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,180.00,95.00
BayanPlaza,HeroStrike,0-edge,Low,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
BayanPlaza,HeroStrike,0-edge,Balanced,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
BayanPlaza,HeroStrike,0-edge,High,0.0000,0.1000,8.8000,0.0000,1.3500,8.8000,0.00,95.00
BayanPlaza,HeroStrike,1-court,Low,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,90.00,95.00
BayanPlaza,HeroStrike,1-court,Balanced,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,90.00,95.00
BayanPlaza,HeroStrike,1-court,High,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,90.00,95.00
BayanPlaza,HeroStrike,1-edge,Low,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,1-edge,Balanced,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,1-edge,High,-7.2000,0.1800,0.0000,-7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,2-court,Low,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
BayanPlaza,HeroStrike,2-court,Balanced,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
BayanPlaza,HeroStrike,2-court,High,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,0.00,95.00
BayanPlaza,HeroStrike,2-edge,Low,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
BayanPlaza,HeroStrike,2-edge,Balanced,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
BayanPlaza,HeroStrike,2-edge,High,0.0000,0.1800,-8.8000,0.0000,1.4300,-8.8000,180.00,95.00
BayanPlaza,HeroStrike,3-court,Low,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,3-court,Balanced,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,3-court,High,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,270.00,95.00
BayanPlaza,HeroStrike,3-edge,Low,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,90.00,95.00
BayanPlaza,HeroStrike,3-edge,Balanced,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,90.00,95.00
BayanPlaza,HeroStrike,3-edge,High,7.2000,0.1800,0.0000,7.2000,1.4300,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,0-court,Low,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,0-court,Balanced,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,0-court,High,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,0-edge,Low,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,0-edge,Balanced,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,0-edge,High,0.0000,0.0000,8.8000,0.0000,1.2500,8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,1-court,Low,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,1-court,Balanced,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,1-court,High,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,1-edge,Low,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,1-edge,Balanced,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,1-edge,High,-7.2000,0.2120,0.0000,-7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,2-court,Low,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,2-court,Balanced,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,2-court,High,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,0.00,95.00
IlalimNgTulay,HeroStrike,2-edge,Low,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,2-edge,Balanced,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,2-edge,High,0.0000,0.0800,-8.8000,0.0000,1.3300,-8.8000,180.00,95.00
IlalimNgTulay,HeroStrike,3-court,Low,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,3-court,Balanced,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,3-court,High,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,270.00,95.00
IlalimNgTulay,HeroStrike,3-edge,Low,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,3-edge,Balanced,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
IlalimNgTulay,HeroStrike,3-edge,High,7.2000,0.2120,0.0000,7.2000,1.4620,0.0000,90.00,95.00
