person,shoe,worst_vertices,charge,spin
lola_pacing,spartan,4843,0.35,1
lola_pacing,alpombra,40013,0.35,1
lola_pacing,pambahay,2241,0.35,1
lola_pacing,heels,6517,0.35,1
lola_pacing,sandals,6069,0.35,1
lola_pacing,loafers,633,0.35,1
mang_kanor,tsinelas,22118,0.35,1
mang_kanor,crocs,14461,0.35,1
mang_kanor,pantulog,2196,0.35,1
mang_kanor,sike,26819,0.35,1
mang_kanor,spartan,6419,0.35,1
mang_kanor,alpombra,40675,0.35,1
mang_kanor,pambahay,2654,0.35,1
mang_kanor,heels,10322,0.35,1
mang_kanor,sandals,7740,0.35,1
mang_kanor,loafers,775,0.35,1
aling_nena,tsinelas,31145,0.35,1
aling_nena,crocs,21769,0.65,1
aling_nena,pantulog,2097,0.65,1
aling_nena,sike,33608,0.65,1
aling_nena,spartan,8208,0.35,1
aling_nena,alpombra,39357,0.65,1
aling_nena,pambahay,3764,0.35,1
aling_nena,heels,15073,0.35,1
aling_nena,sandals,9180,0.65,1
aling_nena,loafers,1109,0.35,1
dante,tsinelas,12202,0.35,1
dante,crocs,6222,0.35,1
dante,pantulog,1224,0.35,1
dante,sike,18060,0.35,1
dante,spartan,4257,0.35,1
dante,alpombra,21110,0.35,1
dante,pambahay,1224,0.35,1
dante,heels,4923,0.35,1
dante,sandals,4470,0.35,1
dante,loafers,467,0.35,1
cheska,tsinelas,10587,0.35,1
cheska,crocs,9357,0.35,1
cheska,pantulog,997,0.35,1
cheska,sike,8620,0.35,1
cheska,spartan,2081,0.35,1
cheska,alpombra,22324,0.35,1
cheska,pambahay,1374,0.35,1
cheska,heels,3812,0.35,1
cheska,sandals,3116,0.35,1
cheska,loafers,305,0.35,1
sean,tsinelas,5364,0.35,1
sean,crocs,1163,0.35,1
sean,pantulog,128,0.35,1
sean,sike,503,0.35,1
sean,spartan,805,0.35,1
sean,alpombra,486,0.35,1
sean,pambahay,497,0.35,1
sean,heels,297,0.35,1
sean,sandals,507,0.35,1
sean,loafers,102,0.35,1
zack,tsinelas,14063,0.35,1
zack,crocs,9097,0.35,1
zack,pantulog,1123,0.35,1
zack,sike,14764,0.35,1
zack,spartan,3066,0.35,1
zack,alpombra,33932,0.35,1
zack,pambahay,1592,0.35,1
zack,heels,5352,0.35,1
zack,sandals,3889,0.35,1
zack,loafers,438,0.35,1
nemu,tsinelas,6220,1,0
nemu,crocs,3869,0.65,1
nemu,pantulog,446,0,-1
nemu,sike,3728,0.35,1
nemu,spartan,1335,1,0
nemu,alpombra,10150,0.35,1
nemu,pambahay,867,1,0
nemu,heels,1977,1,0
nemu,sandals,1632,0,-1
nemu,loafers,208,1,0
phaister,tsinelas,6988,0.35,1
phaister,crocs,2043,0.35,1
phaister,pantulog,596,0.35,1
phaister,sike,6518,0.35,1
phaister,spartan,1662,0.35,1
phaister,alpombra,18542,0.35,1
phaister,pambahay,672,0.35,1
phaister,heels,2555,0.35,1
phaister,sandals,2051,0.35,1
phaister,loafers,115,0.35,1
rafi,tsinelas,18527,0.35,1
rafi,crocs,11275,0.35,1
rafi,pantulog,1749,0.35,1
rafi,sike,22270,0.35,1
rafi,spartan,4718,0.35,1
rafi,alpombra,40524,0.35,1
rafi,pambahay,2216,0.35,1
rafi,heels,8732,0.35,1
rafi,sandals,5733,0.35,1
rafi,loafers,600,0.35,1
