action,t,right_vx,right_vy,right_depth,left_vx,left_vy,left_depth
throw,1.77,0.805,-0.122,0.350,0.114,-0.506,0.389
throw,1.82,0.816,-0.120,0.348,0.116,-0.502,0.390
throw,1.82,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,1.87,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,1.92,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,1.97,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,1.98,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.03,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.08,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.14,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.19,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.19,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.25,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.30,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,2.30,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.00,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.06,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.11,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.16,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.16,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.21,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.26,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.32,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,0.37,0.850,-0.101,0.349,0.124,-0.486,0.388
pektus-left,0.42,0.876,-0.030,0.378,0.136,-0.461,0.383
pektus-left,0.42,0.906,-0.015,0.370,0.145,-0.441,0.379
pektus-left,0.47,0.909,-0.018,0.367,0.146,-0.440,0.378
pektus-left,0.52,0.933,0.002,0.363,0.154,-0.423,0.375
pektus-left,0.58,0.945,0.033,0.370,0.161,-0.409,0.372
pektus-left,0.63,0.952,0.063,0.377,0.166,-0.397,0.370
pektus-left,0.68,0.956,0.087,0.384,0.170,-0.389,0.368
pektus-left,0.73,0.958,0.110,0.391,0.174,-0.381,0.366
pektus-left,0.74,0.957,0.128,0.397,0.176,-0.376,0.365
pektus-left,0.79,0.957,0.130,0.398,0.176,-0.376,0.365
pektus-left,0.84,0.956,0.149,0.405,0.178,-0.371,0.364
pektus-left,0.84,0.953,0.165,0.411,0.180,-0.368,0.364
pektus-left,0.90,0.953,0.166,0.412,0.180,-0.368,0.364
pektus-left,0.95,0.950,0.183,0.419,0.181,-0.365,0.363
pektus-left,0.95,0.946,0.196,0.426,0.182,-0.363,0.363
pektus-left,1.01,0.946,0.198,0.426,0.182,-0.363,0.363
pektus-left,1.06,0.942,0.213,0.434,0.183,-0.361,0.362
pektus-left,1.11,0.938,0.226,0.440,0.184,-0.360,0.362
pektus-left,1.11,0.934,0.237,0.446,0.184,-0.359,0.362
pektus-left,1.16,0.933,0.240,0.447,0.184,-0.359,0.362
pektus-left,1.17,0.929,0.251,0.453,0.185,-0.358,0.362
pektus-left,1.22,0.928,0.252,0.454,0.185,-0.358,0.362
pektus-left,1.28,0.923,0.265,0.461,0.185,-0.357,0.362
pektus-left,1.33,0.918,0.276,0.466,0.185,-0.357,0.362
pektus-left,1.39,0.670,0.087,0.430,0.078,-0.562,0.383
pektus-left,1.45,0.427,-0.192,0.409,0.039,-0.622,0.376
pektus-left,1.50,0.423,-0.211,0.393,0.039,-0.622,0.376
pektus-left,1.55,0.434,-0.218,0.385,0.039,-0.622,0.376
pektus-left,1.60,0.479,-0.210,0.378,0.039,-0.622,0.376
pektus-left,1.65,0.563,-0.189,0.369,0.057,-0.595,0.379
pektus-left,1.70,0.648,-0.167,0.361,0.078,-0.562,0.383
pektus-left,1.71,0.725,-0.147,0.355,0.095,-0.534,0.386
pektus-left,1.76,0.736,-0.144,0.354,0.098,-0.530,0.386
pektus-left,1.76,0.797,-0.127,0.349,0.112,-0.509,0.389
pektus-left,1.81,0.804,-0.125,0.348,0.113,-0.506,0.389
pektus-left,1.86,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,1.91,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,1.91,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,1.96,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,1.96,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.02,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.07,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.12,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.17,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.22,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-left,2.27,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.00,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.06,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.11,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.16,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.22,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.27,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.27,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.32,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,0.37,0.823,-0.127,0.351,0.126,-0.483,0.387
pektus-right,0.42,0.793,-0.115,0.379,0.137,-0.458,0.382
pektus-right,0.47,0.776,-0.149,0.367,0.147,-0.438,0.378
pektus-right,0.47,0.759,-0.165,0.363,0.154,-0.423,0.375
pektus-right,0.53,0.758,-0.165,0.364,0.155,-0.422,0.374
pektus-right,0.58,0.739,-0.164,0.370,0.161,-0.408,0.372
pektus-right,0.58,0.723,-0.159,0.376,0.166,-0.398,0.370
pektus-right,0.63,0.722,-0.159,0.377,0.166,-0.397,0.370
pektus-right,0.63,0.708,-0.152,0.383,0.170,-0.389,0.368
pektus-right,0.68,0.707,-0.152,0.384,0.170,-0.389,0.368
pektus-right,0.68,0.694,-0.144,0.390,0.173,-0.382,0.367
pektus-right,0.73,0.693,-0.143,0.390,0.173,-0.382,0.366
pektus-right,0.73,0.681,-0.135,0.397,0.176,-0.376,0.365
pektus-right,0.78,0.681,-0.134,0.397,0.176,-0.376,0.365
pektus-right,0.79,0.670,-0.125,0.404,0.178,-0.372,0.365
pektus-right,0.84,0.669,-0.124,0.404,0.178,-0.372,0.365
pektus-right,0.89,0.658,-0.114,0.412,0.180,-0.368,0.364
pektus-right,0.89,0.649,-0.104,0.418,0.181,-0.366,0.363
pektus-right,0.95,0.648,-0.103,0.419,0.181,-0.365,0.363
pektus-right,1.00,0.638,-0.092,0.426,0.182,-0.363,0.363
pektus-right,1.06,0.629,-0.082,0.433,0.183,-0.361,0.363
pektus-right,1.11,0.620,-0.071,0.440,0.184,-0.360,0.362
pektus-right,1.11,0.613,-0.061,0.446,0.184,-0.359,0.362
pektus-right,1.16,0.612,-0.060,0.447,0.184,-0.359,0.362
pektus-right,1.21,0.604,-0.050,0.453,0.185,-0.358,0.362
pektus-right,1.21,0.598,-0.041,0.459,0.185,-0.357,0.362
pektus-right,1.27,0.597,-0.040,0.459,0.185,-0.357,0.362
pektus-right,1.32,0.588,-0.029,0.466,0.185,-0.357,0.362
pektus-right,1.32,0.650,0.049,0.441,0.089,-0.545,0.385
pektus-right,1.38,0.635,0.067,0.431,0.081,-0.557,0.383
pektus-right,1.43,0.853,-0.160,0.448,0.071,-0.573,0.382
pektus-right,1.43,0.874,-0.178,0.434,0.069,-0.576,0.381
pektus-right,1.48,0.873,-0.176,0.432,0.070,-0.574,0.381
pektus-right,1.49,0.876,-0.177,0.423,0.073,-0.570,0.382
pektus-right,1.54,0.877,-0.177,0.421,0.073,-0.569,0.382
pektus-right,1.59,0.875,-0.174,0.409,0.079,-0.560,0.383
pektus-right,1.65,0.868,-0.162,0.393,0.089,-0.544,0.385
pektus-right,1.71,0.858,-0.148,0.376,0.100,-0.527,0.387
pektus-right,1.76,0.847,-0.132,0.360,0.110,-0.511,0.389
pektus-right,1.81,0.839,-0.121,0.350,0.117,-0.500,0.390
pektus-right,1.86,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,1.87,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,1.93,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,1.97,0.835,-0.117,0.346,0.120,-0.496,0.390
pektus-right,1.98,0.835,-0.117,0.346,0.120,-0.496,0.390
